file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
01043018_geop5000.parquet,1.959747716729902,5916.365062100194,[11.1793591],0.008055029112211315,4043
01050100_geop5000.parquet,,,,,1
01050114_geop5000.parquet,2.3657911565415137,5803.430217957404,[13.20746092],0.012284716720111177,3112
01050119_geop5000.parquet,2.420445767148457,5985.486270482932,[13.35928658],0.01132988782564221,4528
01050123_geop5000.parquet,2.88739801124155,5757.495397729929,[16.28324451],0.011108004878800704,2952
01050214_geop5000.parquet,1.719321715518188,6523.715144780875,[8.93278465],0.010394574816372676,1041
01050219_geop5000.parquet,2.0916664895232033,6367.550993559076,[11.08513838],0.012236160760727102,2377
01050300_geop5000.parquet,2.5712760680980753,5830.332554365601,[14.1620908],0.011594351773542632,2260
01050314_geop5000.parquet,1.1205018002114446,6262.954496195225,[6.66123373],0.0090467251590693,2750
01050318_geop5000.parquet,1.386438570083469,6049.288899354705,[8.02124804],0.009638890060461423,3034
01050400_geop5000.parquet,1.4679897099028856,5619.138978447213,[8.64416096],0.008619261682901306,2577
01050414_geop5000.parquet,0.9853681445238102,6735.386871221185,[5.75132679],0.011576700106527223,4056
01050418_geop5000.parquet,1.5732741656470612,6353.167439233658,[8.59250187],0.010646819022558133,3341
01050423_geop5000.parquet,3.4961625164007257,6474.543336346353,[17.71250083],0.016977558472059975,3087
01050514_geop5000.parquet,5.035948427648687,5886.278253310508,[27.38614286],0.015352979639087477,3033
01050516_geop5000.parquet,4.973436889350834,5893.093728129922,[27.33113913],0.014692553411872184,4266
01050518_geop5000.parquet,6.5213759513147265,5997.963793180756,[34.96491723],0.018932346527056425,2926
01102322_geop5000.parquet,2.3128927892988704,7389.842414676829,[10.44271947],0.017302041659411908,406
01103121_geop5000.parquet,0.9632826553707412,5961.271579318609,[5.50766218],0.0054044571838518666,860
01120719_geop5000.parquet,0.5520526462217742,5711.054980480293,[4.25972918],0.003287385317757144,5191
01120814_geop5000.parquet,2.4572916700894973,5977.558612901734,[13.54087942],0.009304283259978665,3109
01120818_geop5000.parquet,2.231302046492626,6437.271952735803,[11.84164264],0.011436166945464721,3579
01120913_geop5000.parquet,1.4321327551190022,6198.002690840174,[8.02441901],0.009026958072605692,3552
01120916_geop5000.parquet,1.0079977838201746,5863.319259839717,[6.16208857],0.00841051123100858,2566
01120919_geop5000.parquet,,,,,1
01121013_geop5000.parquet,0.6397602596355267,5689.912122150448,[4.69180559],0.003995870038400988,3727
01121016_geop5000.parquet,0.5554740691822999,5593.904014210753,[4.26110947],0.0039032425692263114,3524
01121019_geop5000.parquet,0.3448576558165577,5628.809854237932,[3.1852606],0.00248931135365656,1448
01121114_geop5000.parquet,0.5094350304180876,6217.970539991423,[3.86240556],0.004657590021367758,1980
01121119_geop5000.parquet,0.5103964676477061,5690.114445312592,[3.56859249],0.004637512654802656,811
01121213_geop5000.parquet,0.3639032872071043,6773.308755594775,[3.05587168],0.004584433093374278,1359
01121219_geop5000.parquet,0.5490301365725845,6168.302515559986,[3.94902778],0.006070730311099788,1881
01121313_geop5000.parquet,0.4592470351325327,7244.48137710692,[3.52473462],0.006834288739244775,2394
01121318_geop5000.parquet,0.6711738793947685,6334.040303588595,[4.42901307],0.007585388312611148,1667
02110315_geop5000.parquet,1.029788343031957,5937.99495584704,[6.67400891],0.005588682603552386,2400
98082115_geop5000.parquet,4.825646097574077,5970.638607735844,[25.46750592],0.013818791754603972,4267
98083121_geop5000.parquet,0.6725057782178419,7439.052402485297,[4.27651633],0.009433005431903462,4448
98100917_geop5000.parquet,0.11325814729154227,6357.642620163451,[1.94310406],0.0030810004482220697,2404
98101003_geop5000.parquet,0.7304658396771135,5917.928593011566,[5.06585942],0.005303616160310621,2580
98101103_geop5000.parquet,0.952943626065878,6356.357186142928,[5.92354211],0.0076631321403665175,2716
98101116_geop5000.parquet,0.5050623011353516,6394.764629305666,[3.91466243],0.004856520323893316,3104
98101202_geop5000.parquet,1.2847159306588347,6295.462163980516,[7.29893379],0.009818301186559422,1970
98101218_geop5000.parquet,0.3596274803678312,5927.392487765025,[3.18914746],0.005091130371025547,2290
98102414_geop5000.parquet,2.6635798155765746,6116.988843846383,[14.11996669],0.012027041497431994,2458
98102512_geop5000.parquet,0.18863172523274715,5538.790806441342,[2.27422924],0.003034699961339129,2418
98102521_geop5000.parquet,0.5906784344791156,5660.171791309624,[4.24946099],0.003233330414146604,3254
98112405_geop5000.parquet,0.6418430441675245,5297.833465994341,[4.64137325],0.00572830420978241,3033
98112411_geop5000.parquet,0.1401633547884601,5651.556774100492,[2.05056941],0.002121146204622562,2555
98112416_geop5000.parquet,0.3786680060594195,5541.843160322318,[3.31888014],0.003494460152013574,930
98112423_geop5000.parquet,1.7332271930760026,5369.567789516505,[11.37736659],0.004473436666710792,3031
98112516_geop5000.parquet,0.25753556814202483,5397.12943678127,[2.8020309],0.0025034819993480536,2386
98112521_geop5000.parquet,1.7565690732080446,5680.637353150219,[10.75598638],0.00579211902141847,3606
98112615_geop5000.parquet,0.8169083698481081,5665.257587517302,[5.5909245],0.0042579808379889,2291
98112621_geop5000.parquet,0.9995992687722366,5602.379352938874,[6.65228775],0.0041364561668963545,3145
98112715_geop5000.parquet,0.9839594936748706,5379.023301665811,[6.68950043],0.004347010411747563,2843
98112720_geop5000.parquet,0.7796285843490895,5731.745635306458,[5.34934566],0.004672786351766434,2988
98120515_geop5000.parquet,0.3784023884154676,5770.3832376165055,[2.30068679],0.0024017505406640463,255
98120523_geop5000.parquet,0.8989226901893596,5455.648121872286,[5.94243566],0.003769146779550675,1740
98120623_geop5000.parquet,0.7321459205347346,5297.9615359298905,[5.16340397],0.004255070283422944,1986
98120705_geop5000.parquet,0.291147411695414,5361.4696306194855,[2.9002398],0.002735036728286863,3241
98120714_geop5000.parquet,0.1805273918401797,5422.913055242671,[2.37931794],0.002789222302584238,3657
98120723_geop5000.parquet,1.2933812163767737,5479.828884212627,[8.44395048],0.005010069804847058,3722
98120805_geop5000.parquet,0.703465263417343,5197.102605051974,[5.20402953],0.004679660990718542,2671
98120822_geop5000.parquet,,,,,1
98120905_geop5000.parquet,0.7695376530097717,5381.206858997537,[5.37681467],0.004761154203050631,2840
98120915_geop5000.parquet,1.158532123364153,5687.802337338542,[6.98101048],0.004962115037858874,1444
98120923_geop5000.parquet,2.8216750291399717,6230.499299017422,[15.25182658],0.011046109887989788,4004
98121005_geop5000.parquet,1.2193680264185092,5422.227363735747,[6.82559886],0.003255170793705684,206
98121015_geop5000.parquet,0.9568524694726285,5823.413405341833,[6.19162719],0.004784049658255687,3693
98121023_geop5000.parquet,1.7323757173434098,5850.704989445362,[9.83120535],0.009593882760510215,3483
98121105_geop5000.parquet,1.5308202011924879,6404.81430013143,[8.2398243],0.010588144887910005,1263
