file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
01043014_geop5000.parquet,1.731852437745084,5940.573784174464,[10.06265468],0.010168193496332223,3767
01043018_geop5000.parquet,1.959747716729902,5916.365062100194,[11.04350017],0.010309072929078362,4043
01050100_geop5000.parquet,,,,,1
01050114_geop5000.parquet,2.3657911565415137,5803.430217957404,[12.97584482],0.016387975871974013,3112
01050119_geop5000.parquet,2.420445767148457,5985.486270482932,[13.16217406],0.014968890703489017,4528
01050123_geop5000.parquet,2.88739801124155,5757.495397729929,[16.00803198],0.018556863837465135,2952
01050214_geop5000.parquet,1.719321715518188,6523.715144780875,[8.87570382],0.019058027819905603,1041
01050219_geop5000.parquet,2.0916664895232033,6367.550993559076,[10.96117024],0.016182782645493807,2377
01050300_geop5000.parquet,2.5712760680980753,5830.332554365601,[13.92018283],0.01388640229812991,2260
01050314_geop5000.parquet,1.1205018002114446,6262.954496195225,[6.58101473],0.00819537444124365,2750
01050318_geop5000.parquet,1.386438570083469,6049.288899354705,[7.91273468],0.009200242562059858,3034
01050400_geop5000.parquet,1.4679897099028856,5619.138978447213,[8.43868157],0.007987764997469159,2577
01050414_geop5000.parquet,0.9853681445238102,6735.386871221185,[5.64611674],0.012069696715540005,4056
01050418_geop5000.parquet,1.5732741656470612,6353.167439233658,[8.49379398],0.015668983158271525,3341
01050423_geop5000.parquet,3.4961625164007257,6474.543336346353,[17.53558342],0.030972493930550276,3087
01050514_geop5000.parquet,5.035948427648687,5886.278253310508,[27.01097516],0.028865789515105534,3033
01050516_geop5000.parquet,4.973436889350834,5893.093728129922,[27.03983609],0.027639669088304328,4266
01050518_geop5000.parquet,6.5213759513147265,5997.963793180756,[34.53952602],0.04583635312805549,2926
01102322_geop5000.parquet,2.3128927892988704,7389.842414676829,[10.33611358],0.03682664492869349,406
01103121_geop5000.parquet,0.9632826553707412,5961.271579318609,[5.46982186],0.007690401487680544,860
01120719_geop5000.parquet,0.5520526462217742,5711.054980480293,[4.23825959],0.002384338121151709,5191
01120814_geop5000.parquet,2.4572916700894973,5977.558612901734,[13.43894346],0.014768631476782434,3109
01120818_geop5000.parquet,2.231302046492626,6437.271952735803,[11.76045034],0.019981145595651263,3579
01120913_geop5000.parquet,1.4321327551190022,6198.002690840174,[7.93025083],0.010386799664362217,3552
01120916_geop5000.parquet,1.0079977838201746,5863.319259839717,[6.08635682],0.007877633164152747,2566
01120919_geop5000.parquet,,,,,1
01121013_geop5000.parquet,0.6397602596355267,5689.912122150448,[4.65941552],0.0027848923264599795,3727
01121016_geop5000.parquet,0.5554740691822999,5593.904014210753,[4.21598418],0.0023204220194883445,3524
01121019_geop5000.parquet,0.3448576558165577,5628.809854237932,[3.1744833],0.0015332131817667345,1448
01121114_geop5000.parquet,0.5094350304180876,6217.970539991423,[3.83627913],0.0036500285639807324,1980
01121119_geop5000.parquet,0.5103964676477061,5690.114445312592,[3.52621131],0.0024026311528492594,811
01121213_geop5000.parquet,0.3639032872071043,6773.308755594775,[3.03534451],0.003335442062181831,1359
01121219_geop5000.parquet,0.5490301365725845,6168.302515559986,[3.92302872],0.0040346937797982145,1881
01121313_geop5000.parquet,0.4592470351325327,7244.48137710692,[3.50537465],0.00540264977179228,2394
01121318_geop5000.parquet,0.6711738793947685,6334.040303588595,[4.39458812],0.005344976626748285,1667
02110315_geop5000.parquet,1.029788343031957,5937.99495584704,[6.65232334],0.006589699267328384,2400
98082115_geop5000.parquet,4.825646097574077,5970.638607735844,[25.14872364],0.032144357686784475,4267
98083121_geop5000.parquet,0.6725057782178419,7439.052402485297,[4.25144284],0.009235023686373056,4448
98100917_geop5000.parquet,0.11325814729154227,6357.642620163451,[1.9199594],0.0010976356472876619,2404
98101003_geop5000.parquet,0.7304658396771135,5917.928593011566,[5.02161319],0.004694193428783127,2580
98101103_geop5000.parquet,0.952943626065878,6356.357186142928,[5.85671403],0.007369337413159739,2716
98101116_geop5000.parquet,0.5050623011353516,6394.764629305666,[3.89757979],0.004221105444272179,3104
98101202_geop5000.parquet,1.2847159306588347,6295.462163980516,[7.20067552],0.011103539621242976,1970
98101218_geop5000.parquet,0.3596274803678312,5927.392487765025,[3.15995931],0.0023222814733706767,2290
98102414_geop5000.parquet,2.6635798155765746,6116.988843846383,[14.00064261],0.019260288319745356,2458
98102512_geop5000.parquet,0.18863172523274715,5538.790806441342,[2.24572808],0.0007680573418775881,2418
98102521_geop5000.parquet,0.5906784344791156,5660.171791309624,[4.22903367],0.002636792101504532,3254
98112405_geop5000.parquet,0.6418430441675245,5297.833465994341,[4.49415721],0.0032987364992782342,3033
98112411_geop5000.parquet,0.1401633547884601,5651.556774100492,[2.01749057],0.00047253506429107155,2555
98112416_geop5000.parquet,0.3786680060594195,5541.843160322318,[3.28123206],0.0016648842443882134,930
98112423_geop5000.parquet,1.7332271930760026,5369.567789516505,[11.30261623],0.0069261452574658385,3031
98112516_geop5000.parquet,0.25753556814202483,5397.12943678127,[2.77366207],0.0009522503963456645,2386
98112521_geop5000.parquet,1.7565690732080446,5680.637353150219,[10.69070371],0.009186791971560235,3606
98112615_geop5000.parquet,0.8169083698481081,5665.257587517302,[5.56909574],0.004402578680951599,2291
98112621_geop5000.parquet,0.9995992687722366,5602.379352938874,[6.6218274],0.004704340455304776,3145
98112715_geop5000.parquet,0.9839594936748706,5379.023301665811,[6.64049671],0.003740721474624421,2843
98112720_geop5000.parquet,0.7796285843490895,5731.745635306458,[5.30923941],0.004362234091721234,2988
98120515_geop5000.parquet,0.3784023884154676,5770.3832376165055,[2.2882838],0.0022364122579856334,255
98120523_geop5000.parquet,0.8989226901893596,5455.648121872286,[5.90930631],0.003601674267946835,1740
98120623_geop5000.parquet,0.7321459205347346,5297.9615359298905,[5.0662411],0.002780621451119569,1986
98120705_geop5000.parquet,0.291147411695414,5361.4696306194855,[2.85564542],0.000775835871961124,3241
98120714_geop5000.parquet,0.1805273918401797,5422.913055242671,[2.33971154],0.0009779201512844708,3657
98120723_geop5000.parquet,1.2933812163767737,5479.828884212627,[8.40015258],0.005590301209509016,3722
98120805_geop5000.parquet,0.703465263417343,5197.102605051974,[4.98773499],0.0027811837214278008,2671
98120822_geop5000.parquet,,,,,1
98120905_geop5000.parquet,0.7695376530097717,5381.206858997537,[5.26955781],0.002666355441127975,2840
98120915_geop5000.parquet,1.158532123364153,5687.802337338542,[6.9348706],0.005058092483809117,1444
98120923_geop5000.parquet,2.8216750291399717,6230.499299017422,[15.15188652],0.023057517970601217,4004
98121005_geop5000.parquet,1.2193680264185092,5422.227363735747,[6.76368005],0.003982482817512051,206
98121015_geop5000.parquet,0.9568524694726285,5823.413405341833,[6.16374311],0.005328825557365986,3693
98121023_geop5000.parquet,1.7323757173434098,5850.704989445362,[9.71587897],0.011788257280590821,3483
98121105_geop5000.parquet,1.5308202011924879,6404.81430013143,[8.10050935],0.014033025165988306,1263
98121115_geop5000.parquet,1.9182074363091188,6334.589103645729,[10.41996655],0.015545335257954079,4516
98121123_geop5000.parquet,2.8195532962178067,6406.584357252451,[14.74517135],0.02511545855212652,3461
98121205_geop5000.parquet,1.6221080762603755,5797.933801417296,[8.62111697],0.011195306430220812,291
99021718_geop5000.parquet,5.502131547888447,5912.8492959757705,[29.35224769],0.03602040703141251,3380
99030415_geop5000.parquet,5.004996611268791,5915.678645786351,[26.94391579],0.035165412912358536,3135
99030615_geop5000.parquet,5.818347202137539,5782.875180978566,[31.45329536],0.03183360978922911,3706
99030915_geop5000.parquet,4.513875933156032,5695.150513692922,[24.5534723],0.023609375531690124,3407
99031018_geop5000.parquet,7.289802287785294,6091.1594193113815,[37.97983887],0.043337191853808785,4038
99031415_geop5000.parquet,1.801604465515173,5504.485940403225,[10.81743036],0.0067806604574079275,4750
99110319_geop5000.parquet,1.4234928123226496,6393.379059270748,[7.76742585],0.00994883685372608,1749
99110402_geop5000.parquet,1.888453728359007,5553.941114188113,[11.63643524],0.007727941113362513,3718
99110409_geop5000.parquet,0.7983155059586597,5328.4157815617755,[4.65238462],0.0029612055507685668,128
99110410_geop5000.parquet,0.7253616732774635,5318.7442699068115,[4.2650541],0.002479905423919212,209
99110412_geop5000.parquet,1.013541594620365,5847.444587081885,[6.28980965],0.00505261374698,2707
99110500_geop5000.parquet,1.4299892934992697,5971.848895003682,[8.67929533],0.009812553297971567,2718
99110510_geop5000.parquet,0.5838616993005001,5992.2711760207185,[4.20576808],0.0033059627066631173,3251
99110516_geop5000.parquet,0.8722981705020035,6240.858139268103,[5.51434785],0.006745015008654742,3951
