filename,RMSE_K,Max_Err_K
01120818_geop5000.parquet,0.010878516182798436,0.01697908137653957
01120913_geop5000.parquet,0.0029787399602786402,0.004400800406646227
01121013_geop5000.parquet,0.013120669401243784,0.035874839385435814
01121016_geop5000.parquet,0.013890706512419283,0.04307564902075771
01121019_geop5000.parquet,0.015768937614635853,0.04186031023809422
01121114_geop5000.parquet,0.00875731613336268,0.013144318479833016
01121219_geop5000.parquet,0.0028358811179257436,0.00627601810920422
01121313_geop5000.parquet,0.00815566243549669,0.014356301365880703
01121318_geop5000.parquet,0.0015177694778628977,0.003909849504252879
02110315_geop5000.parquet,0.015219306225076563,0.019523800015450954
98082115_geop5000.parquet,0.004201711054802698,0.00538759687899569
98083121_geop5000.parquet,0.014129873962350907,0.02150763517019091
98100917_geop5000.parquet,0.00275977456180076,0.004109435088132787
98101003_geop5000.parquet,0.009543169775283236,0.02588148419511509
98101103_geop5000.parquet,0.004465888671940452,0.007073130221962806
98101116_geop5000.parquet,0.01165719704537933,0.016411352674902485
98101202_geop5000.parquet,0.0029117975106352717,0.0045614529306815255
98101218_geop5000.parquet,0.0054067175013535525,0.015355483044151859
98102414_geop5000.parquet,0.0064016979219319575,0.009997584465030018
98102512_geop5000.parquet,0.01131913917430237,0.03603715925956685
98102521_geop5000.parquet,0.0139764054910625,0.035866688839245764
98112405_geop5000.parquet,0.002750189249897947,0.007548517341771643
98112411_geop5000.parquet,0.007172598398425923,0.02006740838740842
98112416_geop5000.parquet,0.01586963636095233,0.05139564137758525
98112423_geop5000.parquet,0.018070854532950223,0.06368457107055428
98112516_geop5000.parquet,0.012186245695800887,0.043667560268020045
98112521_geop5000.parquet,0.01184707654159172,0.026524936786640474
98112615_geop5000.parquet,0.015072673456620736,0.039050343614490876
98112621_geop5000.parquet,0.016155011078312877,0.042747417376036684
98112715_geop5000.parquet,0.014365256414245051,0.055671898420336235
98112720_geop5000.parquet,0.013503650312350764,0.03585333393129431
98120523_geop5000.parquet,0.017581626964786563,0.056937482075192294
98120623_geop5000.parquet,0.01294818580091101,0.04658066750658407
98120705_geop5000.parquet,0.007781782094960383,0.028695593692665625
98120714_geop5000.parquet,0.005521116919577897,0.020367763637703512
98120723_geop5000.parquet,0.018463595778042338,0.05741315132235003
98120805_geop5000.parquet,0.010388195530341078,0.024566124409299284
98120905_geop5000.parquet,0.00637760437077363,0.024999596900113205
98120915_geop5000.parquet,0.011721952325157992,0.029854713394720928
98120923_geop5000.parquet,0.011766351312943799,0.0164262733369388
98121015_geop5000.parquet,0.012171113492068614,0.016463128050617504
98121023_geop5000.parquet,0.00405873556643889,0.013314206702749111
98121105_geop5000.parquet,0.008089955989057408,0.015821558910218157
98121115_geop5000.parquet,0.008114353853003615,0.012632754233987742
98121123_geop5000.parquet,0.008850507681824072,0.013139070579867268
99021718_geop5000.parquet,0.005958297485603017,0.008252983523838894
99030415_geop5000.parquet,0.009101277630688834,0.01413124085278919
99030615_geop5000.parquet,0.005840117781963102,0.017516382529175978
99030915_geop5000.parquet,0.0067181304806672466,0.020118161594257777
99031018_geop5000.parquet,0.006576594127073201,0.00958399048621826
99031415_geop5000.parquet,0.010662384167521292,0.03747245367296004
99110319_geop5000.parquet,0.004467868271315026,0.006372401816995207
99110402_geop5000.parquet,0.012695078190905883,0.03937897888375784
99110412_geop5000.parquet,0.004935596174932671,0.011002194927098037
99110500_geop5000.parquet,0.012922141275703094,0.017774178653875594
99110510_geop5000.parquet,0.0029724884237146707,0.004453711822430428
99110516_geop5000.parquet,0.004420689678844153,0.0066480319903129
99110518_geop5000.parquet,0.0055418254395937,0.0078631573218549
