filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m,T_sky_K,Transmission
00080322_geop5000.parquet,0.5145328223367833,259.7186807530479,261.8858747976749,267.42999999999995,6318.495797004257,1462.2332997760411,5.050876782962653,0.9803924339902835
00080411_geop5000.parquet,0.6860711408746766,262.88913261394407,265.6386692922619,263.96,5762.324906876569,970.7923221292735,6.356455228418584,0.9756006887871059
00080603_geop5000.parquet,0.6117793055291827,262.0349696601029,262.007286977963,264.92,5621.785503672828,889.2302414229056,6.019486097726761,0.9767124073892501
00082215_geop5000.parquet,1.0801251543828885,262.1001818546885,260.5999766764871,270.25,5978.176020184437,1055.7717629358542,8.77936251546376,0.9662701177062252
00121216_geop5000.parquet,4.250462489962382,262.62280760111844,262.9803897555215,277.28,6881.465252822963,1215.4600274222848,26.086804636371333,0.9009226845928977
00121316_geop5000.parquet,0.9698993716524924,265.20712309436374,264.799926719622,273.97,6114.014656075595,831.3583160499254,7.776064423126085,0.9704802797787873
00121318_geop5000.parquet,0.9931351104115088,265.5111015714765,264.41787357085894,279.03,6125.253146326312,961.834055194044,7.852831120257834,0.9702336989420596
00121414_geop5000.parquet,0.7053130413040073,264.8502607481138,266.89697356341094,270.83,6041.8233318030525,1182.7728388756732,6.2315038250240775,0.9762675365499903
00121418_geop5000.parquet,0.7850162149575783,265.7596580714611,267.0705664519873,277.12,5998.6432403360095,1011.0831636788258,6.690205792091441,0.9745844180695414
00121514_geop5000.parquet,0.9049979326629972,263.8125822074812,263.7120257155753,271.32,5986.012857787668,1182.450073038908,7.5609668211457315,0.9711441204612722
00121518_geop5000.parquet,0.4448377909889839,262.90379238100445,264.9722343285638,275.86,6387.117910391682,1415.77268849372,4.493646639374788,0.9827391839484761
00121614_geop5000.parquet,1.050517317876267,267.6772325179155,268.0304661022462,276.14,5972.755909841424,1159.4204572028095,8.384983192155136,0.968415711797364
00121615_geop5000.parquet,1.6055696694677344,267.9344566779028,267.43260293916126,280.01,6133.0441178709725,1030.494102723636,11.585911279126611,0.9565367559935345
00121618_geop5000.parquet,1.0603703039628471,268.9169505384365,269.92838850203134,278.23999999999995,5942.874902715405,1217.1414558473457,8.48190042519353,0.9682097336831541
00121713_geop5000.parquet,2.192326776429912,267.78524384557005,267.2335434007841,275.84,5998.348365758036,1264.6077333504552,15.932724190102922,0.9404522729062236
01040403_geop5000.parquet,3.3212302366198903,266.7678554253461,267.3005506864847,273.54999999999995,6074.919016693419,929.819651957859,23.073621233816123,0.9134536318348054
01040405_geop5000.parquet,2.6513233483977703,266.02315407926267,266.97310372199814,272.48999999999995,5967.2406950045,1003.182193648497,18.882240801196005,0.9289247764732108
01040507_geop5000.parquet,1.5646120175835712,264.46900047959446,265.11687165365805,268.92,5888.282086585488,1041.9255119475429,11.995971958814675,0.9544785020739698
01040508_geop5000.parquet,1.125868191691084,264.41542441272566,265.4686954081154,267.11,5783.115901352576,1090.1357481485063,9.25971202058217,0.9647906939268771
01040608_geop5000.parquet,1.368930335398926,262.9058658333323,264.6997151669403,269.79999999999995,6181.413280112733,1331.5931300736268,10.088122384689026,0.9615233146781089
01040609_geop5000.parquet,1.3028193168992408,264.6490513486127,267.59092121730174,269.56,6030.9621195931895,1419.7225894006815,10.182061047680293,0.9614275623066885
01040901_geop5000.parquet,3.264785882542969,264.37137918557966,266.201126292963,270.67999999999995,6315.85274805454,1357.7292005100733,22.357995822087027,0.9156319004276194
01040903_geop5000.parquet,2.252029971542521,262.26896298464493,263.53949025177195,271.2,6660.2795830051855,1531.444506276923,15.089721785967168,0.9426077262772807
01040905_geop5000.parquet,1.907419690144157,259.91230639977664,260.2659702704854,272.48999999999995,7013.5840942075565,1489.6117404684755,12.42726820112162,0.9522909256898705
01041001_geop5000.parquet,1.817080823688772,266.2007043506288,266.3994723706631,271.66,6047.681860635345,1036.7788805168336,13.190271126610313,0.9502970348778591
01041003_geop5000.parquet,1.1342994268010984,262.6105123891762,261.60646827395385,270.81,6138.099814543785,1078.593647152829,8.343070987054647,0.9680561137616094
01041006_geop5000.parquet,2.168055577616004,264.554989295671,264.4012713465683,272.29,6191.534234732465,1138.2173027966337,15.225658248439558,0.942388757726324
01041008_geop5000.parquet,1.036305554652878,265.79992822225523,266.2155276187605,272.21,6008.010644299922,1005.5167198468296,8.257034724913598,0.968715472450923
01041101_geop5000.parquet,2.794244494332544,266.397270457373,268.37323500315875,270.92,6058.8132038916765,1059.404081776068,19.613707661881783,0.9263239420471965
01041103_geop5000.parquet,2.907975559009208,266.962089177144,267.74313237319046,272.92,6026.56618659525,1023.0823643573408,20.398216337191638,0.9235502929691971
01041104_geop5000.parquet,1.040355399376027,266.5325402653416,267.5156657038031,273.16,6078.724237537612,1237.198612343802,8.27286367576143,0.9687919205208342
01041106_geop5000.parquet,3.3382811936317007,265.6023624099842,266.0349389156171,272.31,6120.318862956549,1005.703158759774,23.003337562367133,0.9134129183939236
01041107_geop5000.parquet,3.226109254739049,265.3596355143493,265.2762673616857,272.21,6115.485217461136,1037.1114798406904,22.3073092739666,0.9159591172242447
01041109_geop5000.parquet,3.256150577718523,265.2645972678615,264.99988974900594,272.03,6165.335917458957,1043.2832844130794,22.26956533456978,0.9160772402867885
01042419_geop5000.parquet,2.159087388398651,259.41479042013543,257.7900108894876,268.17,6163.273372611716,1175.2549638890218,15.607013041393612,0.9398182848836522
01042518_geop5000.parquet,0.8284196928994607,265.1401461859311,264.0157558909218,271.23,5501.318898988719,673.8071128784533,7.498289840724808,0.9714537567159552
01042602_geop5000.parquet,1.4058683602098427,262.7280273990527,263.38629097568565,265.48999999999995,6019.93072007485,1103.2871599487912,10.782283412268566,0.9588286156522963
