filename,T_sky_K,Transmission
01040903_geop5000.parquet,153.83664683760958,0.4047095020972631
01040905_geop5000.parquet,152.99839834163635,0.4074166227274344
01041001_geop5000.parquet,153.03375294097245,0.40714383482934446
01041003_geop5000.parquet,145.7111055183764,0.4287478336374062
01041006_geop5000.parquet,153.66050762289495,0.40381914342856884
01041008_geop5000.parquet,151.3788935005778,0.412325356085383
01041101_geop5000.parquet,154.74596462230636,0.4013771753026138
01041103_geop5000.parquet,154.45861847450252,0.4035596552331889
01041104_geop5000.parquet,151.0147055376283,0.41718164878924396
01041106_geop5000.parquet,155.55106511408334,0.39854305065790513
01041107_geop5000.parquet,155.45664923590914,0.3979076627754289
01041109_geop5000.parquet,155.1877073741779,0.3998986622388994
01042419_geop5000.parquet,153.78540522884458,0.3954247142640905
01042518_geop5000.parquet,150.95398144419158,0.41146128658751613
01042602_geop5000.parquet,152.05679769422076,0.4074602304034155
01042619_geop5000.parquet,151.3696384977996,0.4099439767425195
01042714_geop5000.parquet,150.78872193440816,0.4125285542226569
01042718_geop5000.parquet,151.98505836499797,0.4055312900130762
01042815_geop5000.parquet,153.36335978242997,0.3971567213298186
01042819_geop5000.parquet,154.64654983524858,0.3927039944429783
01042900_geop5000.parquet,155.96964219100448,0.3845874504729596
01042914_geop5000.parquet,157.87480354842958,0.3771961714189078
01043014_geop5000.parquet,155.24023791687335,0.38590883090084865
01043018_geop5000.parquet,155.1665342905896,0.3875594715389133
01050114_geop5000.parquet,155.86949719876014,0.38487263805679606
01050119_geop5000.parquet,155.7206287458216,0.3856124884190436
01050123_geop5000.parquet,157.405786087068,0.3772547569763331
01050219_geop5000.parquet,154.88266469470912,0.3921138989168191
01050300_geop5000.parquet,156.54035432819876,0.38369190766819455
01050314_geop5000.parquet,153.0228847971029,0.4020101433017656
01050318_geop5000.parquet,152.92147423265075,0.4039557239022977
01050400_geop5000.parquet,153.50301424627108,0.40152400116522563
01050414_geop5000.parquet,150.26265487398044,0.4171216633267637
01050418_geop5000.parquet,152.78965502335325,0.40656926182833875
01050423_geop5000.parquet,156.28459364209453,0.3917928619552704
01050514_geop5000.parquet,159.61135859458045,0.3804678748197663
01050516_geop5000.parquet,158.58034350127377,0.38510076734057813
01050518_geop5000.parquet,162.01655145065567,0.3703926104568205
01120719_geop5000.parquet,150.87355521616576,0.41366611578066786
01120814_geop5000.parquet,153.85073684950194,0.40495876670757525
01120818_geop5000.parquet,152.9620749882463,0.40853188871372
01120913_geop5000.parquet,151.45446457592206,0.4135746581647261
01121013_geop5000.parquet,151.33647834698908,0.41197888464240096
01121016_geop5000.parquet,151.05774123428645,0.4134948180420233
01121019_geop5000.parquet,150.30607272000785,0.41702126422630065
01121114_geop5000.parquet,150.99228512384545,0.4145530538129829
01121219_geop5000.parquet,150.4559387036173,0.4174230024058392
01121313_geop5000.parquet,151.23098923184216,0.41025410451092365
01121318_geop5000.parquet,151.40508245861517,0.4106761070351121
02110315_geop5000.parquet,150.77778621716024,0.4135669226682139
98082115_geop5000.parquet,156.80874395991242,0.40174812637693924
98083121_geop5000.parquet,149.8510125343617,0.42049152061312456
98100917_geop5000.parquet,151.5736632912325,0.4082544197665977
98101003_geop5000.parquet,152.95492093686144,0.3978877433403927
98101103_geop5000.parquet,152.3264964639203,0.40274340484762056
98101116_geop5000.parquet,151.00584376603058,0.41014948609526564
98101202_geop5000.parquet,153.2130256573992,0.3970189035819442
98101218_geop5000.parquet,150.46804131366721,0.4137757639527928
98102414_geop5000.parquet,150.49653481376353,0.4077477272431996
98102512_geop5000.parquet,147.08738339337296,0.4242502392128441
98102521_geop5000.parquet,143.79951484387595,0.4309264205599219
98112405_geop5000.parquet,150.5967328837749,0.41523533425378106
98112411_geop5000.parquet,144.18938260991902,0.43420010090142397
98112416_geop5000.parquet,149.94660865306912,0.41865243434310434
98112423_geop5000.parquet,152.89009124016658,0.40463764944751196
98112516_geop5000.parquet,150.04460312354433,0.4170455463501885
98112521_geop5000.parquet,153.0539872596641,0.4039569712947079
98112615_geop5000.parquet,150.98105238778464,0.41419193729613146
98112621_geop5000.parquet,151.12495467451015,0.4146561476745595
98112715_geop5000.parquet,150.78725522091202,0.41770922465844523
98112720_geop5000.parquet,150.08261368719783,0.41988071640188007
98120523_geop5000.parquet,150.62393603272255,0.41840864396452115
98120623_geop5000.parquet,148.19552246581642,0.4262638011066648
98120705_geop5000.parquet,149.5571382577089,0.42232719571181954
98120714_geop5000.parquet,149.27052374554546,0.42447121422341666
98120723_geop5000.parquet,151.36372960702303,0.4152602062225268
98120805_geop5000.parquet,150.76467816482136,0.41484538868977455
98120905_geop5000.parquet,151.53580078901024,0.4103654252803553
