filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m
01050114_geop5000.parquet,2.3468765524682276,258.8114873797469,258.73357284904137,271.51,6319.4751135059305,1296.6016317279675
01050119_geop5000.parquet,2.4038584455841914,259.0089786764868,257.0005030670208,271.34999999999997,6330.892492021324,1191.0051204772108
01050123_geop5000.parquet,2.871923369270629,259.3697557548991,258.9179949340444,268.28999999999996,6174.015244794905,1253.4316587294009
01050219_geop5000.parquet,2.077987344148408,258.86722089125385,258.40184865627486,272.81,6627.871169264607,1289.6804061410799
01050300_geop5000.parquet,2.573338144689035,259.93299122119544,260.32397181421067,268.52,6280.609522799418,1239.1712376239334
01050314_geop5000.parquet,1.105327126737867,259.7407683292829,258.782024258038,274.04999999999995,6584.797574196197,1314.0316363794504
01050318_geop5000.parquet,1.3708662033679262,261.48597871110945,259.9831356677923,275.34,6441.346033433376,1309.2904607948856
01050400_geop5000.parquet,1.4669624663757945,262.51981006062465,263.200901177188,268.21999999999997,6188.634841766916,1360.3473750451446
01050414_geop5000.parquet,0.9589939132773784,258.96414024977156,260.70311511435426,272.53,7010.7329972916505,1751.832395198686
01050418_geop5000.parquet,1.5577342627329187,260.75254926734067,260.1009898448734,275.44,6771.631538600716,1453.456039434951
01050423_geop5000.parquet,3.47324133989527,260.3381741556035,259.6947844113309,270.91999999999996,6713.282338300361,1249.1577885608187
01050514_geop5000.parquet,5.029026421175819,263.7172745860282,263.91046434219163,271.7,6206.907131561674,1162.1408322824723
01050516_geop5000.parquet,4.93998030844525,263.87375661693386,264.31886321308144,271.39,6144.147106463638,1038.758089931855
01050518_geop5000.parquet,6.483691155096311,262.37646526989505,261.60767712821524,270.32,6317.7410256726935,1135.8619739561357
01120719_geop5000.parquet,0.5537386399790566,268.32163110383834,267.74804564248166,278.89,5812.203287044275,704.0792821349273
01120814_geop5000.parquet,2.442382894049765,267.0731074165166,266.40864877309804,279.91999999999996,6093.306755010895,836.0375547721394
01120818_geop5000.parquet,2.223284393934445,263.7355782745276,263.7817817603916,279.51,6525.963074954105,992.969530583191
01120913_geop5000.parquet,1.408863462267823,262.9354630091732,262.6240360528609,276.7,6545.579733394683,1318.0489489372635
01121013_geop5000.parquet,0.6345950776847618,267.02512841765076,266.3892688436462,275.44,5878.609364001278,870.9215974452914
01121016_geop5000.parquet,0.5572381884607037,268.51927384696387,267.8790885846269,280.15999999999997,5873.130873447269,978.9935106604008
01121019_geop5000.parquet,0.3494999594643304,269.2797719994423,268.69866910684163,277.53999999999996,5743.333056040723,737.2329843264025
01121114_geop5000.parquet,0.5093557395725283,265.1091896786526,264.4646147672616,279.9,6468.833086209549,1174.688865525396
01121219_geop5000.parquet,0.545231543987699,265.16437948167084,265.3786157636831,280.09,6484.405508253829,1146.2363641981563
01121313_geop5000.parquet,0.4587303712128885,257.40771958368435,257.7008356240464,277.0,7185.551501809139,1368.0150740182125
01121318_geop5000.parquet,0.6721174100371978,262.2353310009942,263.26172772897974,277.41999999999996,6677.82722710203,1292.0974306319715
02110315_geop5000.parquet,1.0326614187097813,264.3207814601397,264.01175221244785,274.54999999999995,5940.824778755214,561.846117530271
98082115_geop5000.parquet,4.8125968477138095,267.40679074980613,267.63899556623505,275.17999999999995,6272.501231601366,1109.4404411167097
98083121_geop5000.parquet,0.6593272034567655,256.3149338890061,255.17354482604895,273.75,7611.919541083899,1272.4704975708187
98100917_geop5000.parquet,0.11119173851830463,260.7376750872483,260.86755322220455,277.14,6768.395385804915,1642.4415214408796
98101003_geop5000.parquet,0.7307448844605128,261.24234889164813,260.3906428970013,268.62,6171.599370217108,1080.4145362399267
98101103_geop5000.parquet,0.9603755732723321,259.4339483117537,260.28037658675487,267.64,6440.224054951726,1110.6777067188384
98101116_geop5000.parquet,0.5043385391386697,260.20200738109463,259.6598199738929,274.28,6462.328464550816,933.9985258575297
98101202_geop5000.parquet,1.2928111100915631,258.09073514584037,257.95942815220104,268.58,6517.733667044993,1225.4807752073402
98101218_geop5000.parquet,0.35234252576347413,261.83489420282365,261.4884013543952,274.25,6424.638153787748,1386.1539288841602
98102414_geop5000.parquet,2.725289739534407,259.39585913564576,259.9830757750781,266.34,6286.249890215571,929.6510094426317
98102512_geop5000.parquet,0.19225492570429625,261.95617241857593,263.71803499023025,265.83,6042.745626221215,1300.01350320736
98102521_geop5000.parquet,0.6111192814658262,260.5054553667899,259.81813116970005,266.34,5748.78500917713,718.1603667143949
98112405_geop5000.parquet,0.6531080626915381,264.60842375539846,266.6805320626226,267.96999999999997,5938.683492172169,1304.3741556837117
98112411_geop5000.parquet,0.16472366960720716,262.9358151744473,262.4114830585436,267.13,5878.5663834681845,1090.3469821911676
98112416_geop5000.parquet,0.3761218720799509,266.7187621592193,265.4083528099641,274.33,5721.153715004057,876.3824805623186
98112423_geop5000.parquet,1.7295062133359895,265.7403516679401,264.9540094791913,269.88,5434.80169613243,468.6192064756328
98112516_geop5000.parquet,0.25970789676970596,267.71196305029184,266.8121319676763,276.57,5703.155084117002,954.7720852897797
98112521_geop5000.parquet,1.765694522159199,265.6442158433574,265.3666724258887,273.71,5730.610456758618,542.9099013314234
98112615_geop5000.parquet,0.8155296830248617,267.72878660596587,267.19861125944857,276.90999999999997,5734.7141343504145,621.4890181941412
98112621_geop5000.parquet,1.0001594792195583,268.6395935499983,267.46590154178404,276.03999999999996,5659.141136762602,573.4613757633649
98112715_geop5000.parquet,0.9859540138846654,269.3703968414543,268.9451892263562,273.92999999999995,5560.262529794391,786.6753001321499
98112720_geop5000.parquet,0.7777974231045426,266.36024175424245,264.83109426018194,275.16999999999996,5925.245153994677,918.2565420226399
98120523_geop5000.parquet,0.9129411741966038,268.0150944548122,267.21429799953074,271.72999999999996,5571.936825471299,672.2857942722706
98120623_geop5000.parquet,0.7493528321755857,266.4194102815655,269.285360661089,268.77,5538.401652722538,984.051644967768
98120705_geop5000.parquet,0.3091238321315432,268.806492387505,269.85869078664587,271.84999999999997,5715.8116036420315,966.3297410540988
98120714_geop5000.parquet,0.17457403488392334,267.4197290847458,268.74829805876493,277.0,6069.917205898623,1345.2554757549722
98120723_geop5000.parquet,1.2884906823764095,266.7352394967688,265.70693655297043,270.81,5568.306344702954,631.8059505891175
98120805_geop5000.parquet,0.715884877713294,265.572941918776,267.1902986933817,266.64,5647.289817531117,1239.6171835662935
98120905_geop5000.parquet,0.78674677737605,266.46111264802255,268.310275242634,269.28,5783.024973040663,1001.3175175853007
98120915_geop5000.parquet,1.1581556198612561,270.1179533922108,269.66722153633566,281.58,5776.161678514937,608.7104687547966
98120923_geop5000.parquet,2.8329511465701027,263.74563313709064,264.64071495221765,273.45,6314.472206841302,861.5632831625829
98121015_geop5000.parquet,0.9597781642158356,269.23083163523637,268.9833721778458,281.07,5915.219491139885,689.5603277067991
98121023_geop5000.parquet,1.7298017411996798,264.5149603530629,266.752001016714,273.45,6281.195486405319,1088.7060339363622
98121105_geop5000.parquet,1.5391891374185136,263.7832068710929,264.0735517687632,272.03999999999996,6493.449083872263,1152.1060849317262
98121115_geop5000.parquet,1.920385694900205,265.92786147629965,265.68343689839656,279.57,6401.2003032293815,923.5125832104587
98121123_geop5000.parquet,2.8323921434189527,263.8664821256887,264.8122420726505,271.48999999999995,6454.453950765571,955.5300345204503
99021718_geop5000.parquet,5.4918931284104255,268.06230588524096,267.94448282075433,280.26,6145.665384666413,972.808651406423
99030415_geop5000.parquet,5.04378062179076,267.7267255605544,267.8494217192147,275.83,6150.578280785272,1093.5066907784392
99030615_geop5000.parquet,5.858438848494114,267.8672279224526,268.3253998395325,274.78999999999996,6131.307733453195,1085.0220638229664
99030915_geop5000.parquet,4.484917358362994,270.54180543827727,271.45992525920883,279.78999999999996,5973.381751215946,974.3393775115414
99031018_geop5000.parquet,7.252025612472965,267.4456356957795,267.01627075571633,277.96,6311.160353766622,1066.680304408563
99031415_geop5000.parquet,1.7949043977832049,266.7428561613675,268.74823763987155,270.88,5775.11665642611,887.1081239090103
99110319_geop5000.parquet,1.4115298318046823,259.47876056643713,256.92146301262324,275.89,6581.731911480883,1210.8147860283602
99110402_geop5000.parquet,1.886055753004196,262.5804741963616,263.5487479122822,264.12,5684.71432827578,621.17642050048
99110412_geop5000.parquet,1.0087234105772418,257.04952899046714,256.1060264705227,267.12,6159.933823693118,1101.0499689634544
99110500_geop5000.parquet,1.429901344178383,258.87166229375225,257.7911675740366,267.4,6039.640048404928,707.9370739215176
99110510_geop5000.parquet,0.5798598785788316,263.06854748728074,264.04842522783514,272.53999999999996,6279.767749101474,1143.5304226835415
99110516_geop5000.parquet,0.8671860258269255,262.14904181556267,261.01823616932177,275.41999999999996,6484.926197086928,1182.5504182600946
99110518_geop5000.parquet,2.218856131214174,264.23166978161584,264.55821735041167,276.7,6305.940639383491,1061.9413530024708
99110601_geop5000.parquet,2.921934377133213,262.2730167625857,263.9903389240483,268.26,6382.256362078303,1176.5310879771296
99110604_geop5000.parquet,2.4619050838075527,261.8685671319501,262.709131016566,270.59,6354.2701170754735,958.8940512999459
99110609_geop5000.parquet,2.7088059376266256,261.90691429264893,262.4173293513316,269.23999999999995,6293.236172500374,1130.4264137640482
99110612_geop5000.parquet,2.0574736092977934,263.97451796946,264.12131417964355,277.12,6209.6080381912525,952.8775751312207
99110618_geop5000.parquet,1.9308912065119734,266.4611076997113,266.73054546550634,277.75,5976.201847605122,894.9650729096605
99110701_geop5000.parquet,1.584398079284562,264.83438419586906,267.35182851573745,267.90999999999997,5706.8569340155045,705.6803366215371
99110704_geop5000.parquet,1.0501752934220683,264.8784957635134,266.4448761183829,266.98999999999995,5721.169728412445,914.2476695195311
99110710_geop5000.parquet,1.1175328927137351,263.1263761283706,264.0376394339068,265.35999999999996,5918.539479711087,963.397894829175
99110712_geop5000.parquet,0.48986787879681504,262.0097698111326,261.8874281279349,272.29999999999995,6244.844768702724,1177.4522017784457
99110718_geop5000.parquet,1.0774721179128166,260.1480921753796,259.37308307961797,276.67999999999995,6661.949450068221,1421.4765014325892
99110719_geop5000.parquet,0.701772199092058,263.43946045963895,262.0547104442981,276.58,6143.842105104458,913.2329133662154
99110804_geop5000.parquet,0.5183126878222696,264.1540639346887,265.92774750543845,263.29999999999995,5513.90780910097,794.2536379091805
99110809_geop5000.parquet,0.4727206180163455,262.882156058227,262.2562088856204,266.25,5672.021717543133,731.7513417588675
99110813_geop5000.parquet,0.33854677318141607,261.2777077972223,260.2804056362155,268.96999999999997,6045.637202213505,942.5000472277702
99110819_geop5000.parquet,0.3386084402010025,263.8865163714626,262.42112678954135,274.98999999999995,5945.579035100251,849.0929383676025
99110915_geop5000.parquet,0.3258118925785353,263.40987581478737,261.98844097725015,270.2,5793.634306075798,796.2636349431234
99110918_geop5000.parquet,0.7741736374727759,262.68920373513924,262.00366506524904,274.31,5970.500700196002,800.0960923802976
99111000_geop5000.parquet,1.0609991388283466,260.59528537719535,260.0734316546159,266.65,5872.489305872998,757.0118411557459
99111004_geop5000.parquet,0.8168949702199967,262.6189878149412,262.57207418605157,265.4,5599.528594079194,819.6177254658218
99111009_geop5000.parquet,0.5746304756795431,261.75914288635295,263.1093899038765,262.84,5708.244038449392,962.1685232399577
99111012_geop5000.parquet,0.2669445219971177,260.8314505135353,261.277527336468,267.75,6093.457332851076,1178.8433207335597
99111018_geop5000.parquet,1.0558950795305646,261.52245860582116,259.52399244331616,272.95,6180.001127863256,1012.9775528365083
99111214_geop5000.parquet,0.24808860672609492,259.2393401061063,260.5772762680331,270.59,6677.367055413216,1281.429953062268
